,Unnamed: 0,@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing,long,lat
0,1,http://environment.data.gov.uk/water-quality/data/measurement/MD-1043296-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-09453550,MD-09453550,GRAN BROOK DS REME CAMP LONG MARSTON,2000-04-06 14:19:00,Nitrate-N,Nitrate as N,117,,9.14,,mg/l,SURFACE DRAINAGE,False,ENVIRONMENTAL MONITORING (GQA & RE ONLY),416240,247780,-1.7641839638504921,52.128092260118905
1,2,http://environment.data.gov.uk/water-quality/data/measurement/MD-1043297-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-09454580,MD-09454580,GRAN BROOK US MICKLETON BROOK,2000-04-06 14:45:00,Nitrate-N,Nitrate as N,117,,8.12,,mg/l,SURFACE DRAINAGE,False,ENVIRONMENTAL MONITORING (GQA & RE ONLY),416700,245400,-1.75758039495525,52.106681416828955
2,3,http://environment.data.gov.uk/water-quality/data/measurement/MD-1519829-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-37646600,MD-37646600,SLAG BANK DYKE STORM SEWAGE,2000-11-28 15:00:00,Nitrate-N,Nitrate as N,117,,5.2,,mg/l,SURFACE DRAINAGE,True,COMPLIANCE AUDIT (PERMIT),491900,412200,-0.6128150187941466,53.59832203192724
3,4,http://environment.data.gov.uk/water-quality/data/measurement/MD-1031630-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90001700,MD-90001700,"POLCON 1-OFF, WATER: SEVERN 01",2000-02-24 16:00:00,Nitrate-N,Nitrate as N,117,,3.15,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
4,5,http://environment.data.gov.uk/water-quality/data/measurement/MD-1039467-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90020700,MD-90020700,POLCON AD-HOC WATER QUALITY: LS 20,2000-02-21 14:10:00,Nitrate-N,Nitrate as N,117,,2.39,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
5,6,http://environment.data.gov.uk/water-quality/data/measurement/MD-1039434-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90050800,MD-90050800,"POLCON 1-OFF, WATER: TRENT 50",2000-02-18 10:30:00,Nitrate-N,Nitrate as N,117,,3.68,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
6,7,http://environment.data.gov.uk/water-quality/data/measurement/MD-1039435-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90050800,MD-90050800,"POLCON 1-OFF, WATER: TRENT 50",2000-02-18 10:35:00,Nitrate-N,Nitrate as N,117,,2.3,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
7,8,http://environment.data.gov.uk/water-quality/data/measurement/MD-1033650-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90056800,MD-90056800,"POLCON 1-OFF, WATER: TRENT 56",2000-03-06 12:15:00,Nitrate-N,Nitrate as N,117,,16.5,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
8,9,http://environment.data.gov.uk/water-quality/data/measurement/MD-1033654-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90057800,MD-90057800,"POLCON 1-OFF, WATER: TRENT 57",2000-03-02 15:00:00,Nitrate-N,Nitrate as N,117,,0.11599999999999999,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
9,10,http://environment.data.gov.uk/water-quality/data/measurement/MD-1045833-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800,MD-90083800,"POLCON 1-OFF, WATER: TRENT 83",2000-03-10 10:05:00,Nitrate-N,Nitrate as N,117,,2.49,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
10,11,http://environment.data.gov.uk/water-quality/data/measurement/MD-1519405-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800,MD-90083800,"POLCON 1-OFF, WATER: TRENT 83",2000-11-21 11:00:00,Nitrate-N,Nitrate as N,117,<,0.5,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
11,12,http://environment.data.gov.uk/water-quality/data/measurement/MD-2118411-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800,MD-90083800,"POLCON 1-OFF, WATER: TRENT 83",2000-12-05 09:45:00,Nitrate-N,Nitrate as N,117,,1.48,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,2,-0.6091315732485187,49.891915177693036
12,13,http://environment.data.gov.uk/water-quality/data/measurement/NE-1062301-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49405051,NE-49405051,LEEDS & BRADFORD AIRPORT - OUTLET 9,2000-10-11 12:50:00,Nitrate-N,Nitrate as N,117,,2.53,,mg/l,SURFACE DRAINAGE,True,COMPLIANCE AUDIT (PERMIT),423190,440700,-1.6488806022856508,53.86200596241051
13,14,http://environment.data.gov.uk/water-quality/data/measurement/NE-1067547-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49405051,NE-49405051,LEEDS & BRADFORD AIRPORT - OUTLET 9,2000-12-07 12:20:00,Nitrate-N,Nitrate as N,117,,0.24600000000000002,,mg/l,SURFACE DRAINAGE,True,COMPLIANCE AUDIT (PERMIT),423190,440700,-1.6488806022856508,53.86200596241051
14,15,http://environment.data.gov.uk/water-quality/data/measurement/NW-1419077-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000041,NW-88000041,MISC FARM EFFLUENT DISCHARGES IN DIST 3,2000-02-11 10:55:00,Nitrate-N,Nitrate as N,117,,0.574,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS),500000,4,-0.6091310564465514,49.891933160310174
15,16,http://environment.data.gov.uk/water-quality/data/measurement/NW-1427838-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000045,NW-88000045,MISC RIVER SAMP (NOT CONT SW) IN DIST 3,2000-06-08 14:00:00,Nitrate-N,Nitrate as N,117,,0.19399999999999998,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,4,-0.6091310564465514,49.891933160310174
16,17,http://environment.data.gov.uk/water-quality/data/measurement/NW-1440015-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000045,NW-88000045,MISC RIVER SAMP (NOT CONT SW) IN DIST 3,2000-08-04 20:30:00,Nitrate-N,Nitrate as N,117,,8.55,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,4,-0.6091310564465514,49.891933160310174
17,18,http://environment.data.gov.uk/water-quality/data/measurement/NW-1411116-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048,NW-88000048,MISC SURFACE WATER DISCH IN DISTRICT 3,2000-01-20 12:00:00,Nitrate-N,Nitrate as N,117,,0.772,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,4,-0.6091310564465514,49.891933160310174
18,19,http://environment.data.gov.uk/water-quality/data/measurement/NW-1418227-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048,NW-88000048,MISC SURFACE WATER DISCH IN DISTRICT 3,2000-03-13 14:00:00,Nitrate-N,Nitrate as N,117,,0.195,,mg/l,SURFACE DRAINAGE,False,UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS),500000,4,-0.6091310564465514,49.891933160310174
