,Unnamed: 0,@id,sample.samplingPoint,sample.samplingPoint.notation,sample.samplingPoint.label,sample.sampleDateTime,determinand.label,determinand.definition,determinand.notation,resultQualifier.notation,result,codedResultInterpretation.interpretation,determinand.unit.label,sample.sampledMaterialType.label,sample.isComplianceSample,sample.purpose.label,sample.samplingPoint.easting,sample.samplingPoint.northing,long,lat
0,1,http://environment.data.gov.uk/water-quality/data/measurement/AN-1586711-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/AN-231381,AN-231381,RECTORY PARK UPTON CAMBRIDGESHIRE,2010-03-22 12:00:00,Nitrate-N,Nitrate as N,117,,4.76,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE AUDIT (PERMIT),517440,278210,-0.2757061488719055,52.389329384790464
1,2,http://environment.data.gov.uk/water-quality/data/measurement/MD-2838855-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-28272400,MD-28272400,"COLEY MILL BARNS STP (13 HOMES), STSE",2010-06-29 08:50:00,Nitrate-N,Nitrate as N,117,<,0.9,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),378040,319250,-2.326928729553302,52.77039197840743
2,3,http://environment.data.gov.uk/water-quality/data/measurement/MD-2842850-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-28272400,MD-28272400,"COLEY MILL BARNS STP (13 HOMES), STSE",2010-08-13 10:05:00,Nitrate-N,Nitrate as N,117,<,0.196,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),378040,319250,-2.326928729553302,52.77039197840743
3,4,http://environment.data.gov.uk/water-quality/data/measurement/MD-2845991-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-28272400,MD-28272400,"COLEY MILL BARNS STP (13 HOMES), STSE",2010-09-21 11:15:00,Nitrate-N,Nitrate as N,117,<,0.9,,mg/l,FINAL SEWAGE EFFLUENT,True,COMPLIANCE FORMAL (PERMIT),378040,319250,-2.326928729553302,52.77039197840743
4,5,http://environment.data.gov.uk/water-quality/data/measurement/MD-2827872-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-01-13 11:36:00,Nitrate-N,Nitrate as N,117,,20.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
5,6,http://environment.data.gov.uk/water-quality/data/measurement/MD-2828374-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-01-19 11:02:00,Nitrate-N,Nitrate as N,117,,20.1,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
6,7,http://environment.data.gov.uk/water-quality/data/measurement/MD-2829121-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-02-03 15:45:00,Nitrate-N,Nitrate as N,117,,22.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
7,8,http://environment.data.gov.uk/water-quality/data/measurement/MD-2829918-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-02-12 13:02:00,Nitrate-N,Nitrate as N,117,,23.8,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
8,9,http://environment.data.gov.uk/water-quality/data/measurement/MD-2830911-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-03-02 11:50:00,Nitrate-N,Nitrate as N,117,,22.1,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
9,10,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832027-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-03-18 12:50:00,Nitrate-N,Nitrate as N,117,,23.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
10,11,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832470-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-03-25 11:40:00,Nitrate-N,Nitrate as N,117,,19.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
11,12,http://environment.data.gov.uk/water-quality/data/measurement/MD-2832855-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-04-07 11:30:00,Nitrate-N,Nitrate as N,117,,22.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
12,13,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834158-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-04-25 11:21:00,Nitrate-N,Nitrate as N,117,,24.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
13,14,http://environment.data.gov.uk/water-quality/data/measurement/MD-2834825-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-05-08 11:11:00,Nitrate-N,Nitrate as N,117,,22.0,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
14,15,http://environment.data.gov.uk/water-quality/data/measurement/MD-2836666-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-06-04 12:43:00,Nitrate-N,Nitrate as N,117,,22.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
15,16,http://environment.data.gov.uk/water-quality/data/measurement/MD-2837677-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-06-19 11:27:00,Nitrate-N,Nitrate as N,117,,19.8,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
16,17,http://environment.data.gov.uk/water-quality/data/measurement/MD-2839943-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-07-10 13:51:00,Nitrate-N,Nitrate as N,117,,19.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
17,18,http://environment.data.gov.uk/water-quality/data/measurement/MD-2840643-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-07-21 11:21:00,Nitrate-N,Nitrate as N,117,,19.4,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
18,19,http://environment.data.gov.uk/water-quality/data/measurement/MD-2842157-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-08-04 13:11:00,Nitrate-N,Nitrate as N,117,,22.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
19,20,http://environment.data.gov.uk/water-quality/data/measurement/MD-2842878-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-08-15 11:53:00,Nitrate-N,Nitrate as N,117,,21.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
20,21,http://environment.data.gov.uk/water-quality/data/measurement/MD-2844566-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-09-04 14:39:00,Nitrate-N,Nitrate as N,117,,25.2,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
21,22,http://environment.data.gov.uk/water-quality/data/measurement/MD-2846350-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-09-29 11:00:00,Nitrate-N,Nitrate as N,117,,25.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
22,23,http://environment.data.gov.uk/water-quality/data/measurement/MD-2847045-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-10-09 12:31:00,Nitrate-N,Nitrate as N,117,,28.0,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
23,24,http://environment.data.gov.uk/water-quality/data/measurement/MD-2847644-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-10-24 11:57:00,Nitrate-N,Nitrate as N,117,,30.9,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
24,25,http://environment.data.gov.uk/water-quality/data/measurement/MD-2849913-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-11-13 12:15:00,Nitrate-N,Nitrate as N,117,,25.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
25,26,http://environment.data.gov.uk/water-quality/data/measurement/MD-2850465-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-11-21 12:57:00,Nitrate-N,Nitrate as N,117,,32.7,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
26,27,http://environment.data.gov.uk/water-quality/data/measurement/MD-2852282-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-12-12 14:06:00,Nitrate-N,Nitrate as N,117,,20.9,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
27,28,http://environment.data.gov.uk/water-quality/data/measurement/MD-2852413-0117,http://environment.data.gov.uk/water-quality/id/sampling-point/MD-39324845,MD-39324845,"LANGWITH STW, FE",2010-12-15 12:47:00,Nitrate-N,Nitrate as N,117,,22.5,,mg/l,FINAL SEWAGE EFFLUENT,False,PLANNED INVESTIGATION (LOCAL MONITORING),454480,370260,-1.1853982579804245,53.22659861445022
