"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523930-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910124","SW-81910124","CARRICK ROADS FALMOUTH BANK SURFACE",2000-03-24 09:40:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.135,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",182530,33690
"2","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523931-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910124","SW-81910124","CARRICK ROADS FALMOUTH BANK SURFACE",2000-03-24 09:46:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.0955,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",182530,33690
"3","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523934-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910139","SW-81910139","RIVER FAL VILT BUOY",2000-03-24 09:00:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.106,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",183140,34020
"4","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523935-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910139","SW-81910139","RIVER FAL VILT BUOY",2000-03-24 09:08:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.0957,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",183140,34020
"5","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523938-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910140","SW-81910140","CARRICK ROADS ST MAWES BNK NTH BUOY SURF",2000-03-24 09:19:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.145,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",183820,34100
"6","http://environment.data.gov.uk/water-quality/data/measurement/SW-2523939-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81910140","SW-81910140","CARRICK ROADS ST MAWES BNK NTH BUOY SURF",2000-03-24 09:26:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.096,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",183820,34100
"7","http://environment.data.gov.uk/water-quality/data/measurement/NW-1456065-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88004074","NW-88004074","RIVER CONDER AT CONDER GREEN",2001-01-10 11:40:00,"Nitrate-N","Nitrate as N","0117",NA,2.21,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",345962,455741
"8","http://environment.data.gov.uk/water-quality/data/measurement/NW-1456036-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88004088","NW-88004088","RIVER COCKER AT COCKER BRIDGE",2001-01-10 13:20:00,"Nitrate-N","Nitrate as N","0117",NA,3.12,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",345230,451252
"9","http://environment.data.gov.uk/water-quality/data/measurement/SO-817054-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0004554","SO-E0004554","ST PETERS WHARF-*CLOSED*",2002-09-30 17:27:00,"Nitrate-N","Nitrate as N","0117",NA,6.03,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",571081,162931
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1552816-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005857","NW-88005857","WAVER ESTUARY AT THE RAILWAY CUTTING",2003-01-16 11:05:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.81,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",318075,551766
"11","http://environment.data.gov.uk/water-quality/data/measurement/NW-1567844-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005857","NW-88005857","WAVER ESTUARY AT THE RAILWAY CUTTING",2003-06-02 14:40:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.4,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",318075,551766
"12","http://environment.data.gov.uk/water-quality/data/measurement/NW-1573079-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005857","NW-88005857","WAVER ESTUARY AT THE RAILWAY CUTTING",2003-07-29 13:30:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.14,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",318075,551766
"13","http://environment.data.gov.uk/water-quality/data/measurement/NW-1583835-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005857","NW-88005857","WAVER ESTUARY AT THE RAILWAY CUTTING",2003-10-13 14:55:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.57,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",318075,551766
"14","http://environment.data.gov.uk/water-quality/data/measurement/NW-1552815-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005858","NW-88005858","WAVER ESTUARY AT WINDING BANKS",2003-01-16 10:45:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.76,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",316896,552303
"15","http://environment.data.gov.uk/water-quality/data/measurement/NW-1573077-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005858","NW-88005858","WAVER ESTUARY AT WINDING BANKS",2003-07-29 13:05:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",316896,552303
"16","http://environment.data.gov.uk/water-quality/data/measurement/NW-1583837-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005858","NW-88005858","WAVER ESTUARY AT WINDING BANKS",2003-10-13 14:30:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.41,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",316896,552303
"17","http://environment.data.gov.uk/water-quality/data/measurement/NW-1614550-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88005857","NW-88005857","WAVER ESTUARY AT THE RAILWAY CUTTING",2004-07-01 11:55:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,2.68,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",318075,551766
"18","http://environment.data.gov.uk/water-quality/data/measurement/SO-906677-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-07-04 11:27:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.695,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"19","http://environment.data.gov.uk/water-quality/data/measurement/SO-908323-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-07-22 12:32:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.765,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"20","http://environment.data.gov.uk/water-quality/data/measurement/SO-909558-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-08-05 12:52:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.785,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"21","http://environment.data.gov.uk/water-quality/data/measurement/SO-912172-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-08-18 14:33:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.541,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"22","http://environment.data.gov.uk/water-quality/data/measurement/SO-913380-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-09-05 11:37:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.637,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"23","http://environment.data.gov.uk/water-quality/data/measurement/SO-919981-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000204","SO-E0000204","NORTH KENT BUOY",2005-12-06 14:36:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.758,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",589500,174000
"24","http://environment.data.gov.uk/water-quality/data/measurement/SO-906694-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-07-04 12:05:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.632,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"25","http://environment.data.gov.uk/water-quality/data/measurement/SO-908347-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-07-22 12:51:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.781,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"26","http://environment.data.gov.uk/water-quality/data/measurement/SO-909567-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-08-05 13:00:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.848,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"27","http://environment.data.gov.uk/water-quality/data/measurement/SO-912208-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-08-18 14:26:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.433,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"28","http://environment.data.gov.uk/water-quality/data/measurement/SO-913424-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-09-05 11:45:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.333,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"29","http://environment.data.gov.uk/water-quality/data/measurement/SO-919982-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000218","SO-E0000218","ELPHINSTONE",2005-12-06 14:42:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.766,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",586000,173500
"30","http://environment.data.gov.uk/water-quality/data/measurement/SO-906696-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000224","SO-E0000224","OAKHAM NESS",2005-07-04 12:11:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.581,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",584200,171700
"31","http://environment.data.gov.uk/water-quality/data/measurement/SO-908339-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SO-E0000224","SO-E0000224","OAKHAM NESS",2005-07-22 12:59:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.698,NA,"mg/l","ESTUARINE WATER AT HIGH TIDE",FALSE,"MONITORING  (UK GOVT POLICY - NOT GQA OR RE)",584200,171700
