"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/AN-687769-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-01-05 14:45:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"2","http://environment.data.gov.uk/water-quality/data/measurement/AN-691884-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-02-07 11:30:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"3","http://environment.data.gov.uk/water-quality/data/measurement/AN-1027120-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-03-20 10:55:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"4","http://environment.data.gov.uk/water-quality/data/measurement/AN-1029712-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-04-19 11:15:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"5","http://environment.data.gov.uk/water-quality/data/measurement/AN-1032178-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-05-15 00:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.238,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"6","http://environment.data.gov.uk/water-quality/data/measurement/AN-1038330-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-06-22 13:30:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"7","http://environment.data.gov.uk/water-quality/data/measurement/AN-1036386-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-TL168998","AN-TL168998","WESTWOODS FARMS (FORMER HORRELS DAIRIES)",2000-07-07 14:20:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",516865,299675
"8","http://environment.data.gov.uk/water-quality/data/measurement/NW-1430166-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000086","NW-88000086","MISC TE DISCH (INC TIP DRAIN) IN DIST 7",2000-06-21 12:10:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,4
"9","http://environment.data.gov.uk/water-quality/data/measurement/SW-2576244-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-70549999","SW-70549999","MISCELLANEOUS LOWER EXE",2000-10-04 15:10:00,"Nitrate-N","Nitrate as N","0117",NA,2.92,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"UNSPECIFIED AT TIME OF WIMS LOAD",293000,90900
"10","http://environment.data.gov.uk/water-quality/data/measurement/SW-2437541-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-81269999","SW-81269999","MISCELLANEOUS LYD",2000-01-06 11:35:00,"Nitrate-N","Nitrate as N","0117",NA,0.9,NA,"mg/l","GROUNDWATER - STATIC/UNPURGED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",237500,84000
