"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/NW-1451054-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2000-11-08 11:15:00,"Nitrate-N","Nitrate as N","0117",NA,2.77,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"2","http://environment.data.gov.uk/water-quality/data/measurement/NE-1177527-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-05-13 10:30:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"3","http://environment.data.gov.uk/water-quality/data/measurement/NE-1179531-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-06-03 10:00:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"4","http://environment.data.gov.uk/water-quality/data/measurement/NE-1181781-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-07-01 09:45:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"5","http://environment.data.gov.uk/water-quality/data/measurement/NE-1185479-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-08-05 09:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"6","http://environment.data.gov.uk/water-quality/data/measurement/NE-1187504-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-08-27 09:20:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"7","http://environment.data.gov.uk/water-quality/data/measurement/NE-1191633-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-10-12 09:50:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"8","http://environment.data.gov.uk/water-quality/data/measurement/NE-1204734-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-12-01 10:10:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"9","http://environment.data.gov.uk/water-quality/data/measurement/NE-1206902-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2004-12-21 09:50:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1611918-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003035","NW-88003035","PEMBERTON SPOIL HEAPS",2004-06-09 12:00:00,"Nitrate-N","Nitrate as N","0117",NA,2.55,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",356001,403513
"11","http://environment.data.gov.uk/water-quality/data/measurement/NW-1620192-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003035","NW-88003035","PEMBERTON SPOIL HEAPS",2004-08-06 15:35:00,"Nitrate-N","Nitrate as N","0117",NA,0.194,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",356001,403513
"12","http://environment.data.gov.uk/water-quality/data/measurement/NW-1620146-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88019943","NW-88019943","SMITHY BROOK D/S PEMBERTON MINEWATER",2004-08-06 15:45:00,"Nitrate-N","Nitrate as N","0117",NA,1.29,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",356100,403400
"13","http://environment.data.gov.uk/water-quality/data/measurement/NE-1209437-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-01-10 10:25:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"14","http://environment.data.gov.uk/water-quality/data/measurement/NE-1211671-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-02-03 12:49:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"15","http://environment.data.gov.uk/water-quality/data/measurement/NE-1216036-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-03-10 10:38:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"16","http://environment.data.gov.uk/water-quality/data/measurement/NE-1219994-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-04-27 09:45:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"17","http://environment.data.gov.uk/water-quality/data/measurement/NE-1221222-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-05-11 12:05:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"18","http://environment.data.gov.uk/water-quality/data/measurement/NE-1229533-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-43200293","NE-43200293","LAMBLEY NO.1 MINEWATER",2005-08-08 13:05:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",367350,559720
"19","http://environment.data.gov.uk/water-quality/data/measurement/NW-1651651-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003035","NW-88003035","PEMBERTON SPOIL HEAPS",2005-03-15 15:10:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",356001,403513
"20","http://environment.data.gov.uk/water-quality/data/measurement/NW-1652072-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003375","NW-88003375","BRITISH COAL MINEWATER FROM CALDER PIT",2005-03-18 10:45:00,"Nitrate-N","Nitrate as N","0117","<",0.196,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",377257,433118
"21","http://environment.data.gov.uk/water-quality/data/measurement/NW-1659723-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003375","NW-88003375","BRITISH COAL MINEWATER FROM CALDER PIT",2005-06-08 10:30:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",377257,433118
