"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/NW-1499199-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007379","NW-88007379","HOCKERY BROOK      (WOODSHAW MINESHAFTS)",2002-01-15 15:20:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",361530,405110
"2","http://environment.data.gov.uk/water-quality/data/measurement/NW-1499200-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-01-15 10:55:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"3","http://environment.data.gov.uk/water-quality/data/measurement/NW-1513353-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-04-12 12:05:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"4","http://environment.data.gov.uk/water-quality/data/measurement/NW-1513354-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-04-14 16:00:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"5","http://environment.data.gov.uk/water-quality/data/measurement/NW-1518310-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-05-11 16:45:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"6","http://environment.data.gov.uk/water-quality/data/measurement/NW-1518311-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-05-11 17:15:00,"Nitrate-N","Nitrate as N","0117","<",0.993,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"7","http://environment.data.gov.uk/water-quality/data/measurement/NW-1518425-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-05-11 17:00:00,"Nitrate-N","Nitrate as N","0117",NA,1.72,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"8","http://environment.data.gov.uk/water-quality/data/measurement/NW-1528081-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2002-07-22 14:50:00,"Nitrate-N","Nitrate as N","0117","<",0.992,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"9","http://environment.data.gov.uk/water-quality/data/measurement/NW-1551015-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2003-01-05 14:47:00,"Nitrate-N","Nitrate as N","0117",NA,1.17,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1551016-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88009650","NW-88009650","DUMMY SITE NO1 FOR GROUNDWATER SAMPLES",2003-01-05 14:37:00,"Nitrate-N","Nitrate as N","0117","<",0.996,NA,"mg/l","MINEWATER (FLOWING/PUMPED)",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",191000,591000
