"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/AN-690923-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-01-11 10:00:00,"Nitrate-N","Nitrate as N","0117",NA,6.85,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"2","http://environment.data.gov.uk/water-quality/data/measurement/AN-689484-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-02-09 12:50:00,"Nitrate-N","Nitrate as N","0117",NA,7.35,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"3","http://environment.data.gov.uk/water-quality/data/measurement/AN-1028255-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-03-08 10:29:00,"Nitrate-N","Nitrate as N","0117",NA,6.17,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"4","http://environment.data.gov.uk/water-quality/data/measurement/AN-1029672-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-04-04 12:00:00,"Nitrate-N","Nitrate as N","0117",NA,6.97,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"5","http://environment.data.gov.uk/water-quality/data/measurement/AN-1035010-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-05-03 10:05:00,"Nitrate-N","Nitrate as N","0117",NA,5.68,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"6","http://environment.data.gov.uk/water-quality/data/measurement/AN-1030722-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-06-07 13:43:00,"Nitrate-N","Nitrate as N","0117",NA,4.49,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"7","http://environment.data.gov.uk/water-quality/data/measurement/AN-1038887-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-BUR300","AN-BUR300","WROXHAM BROAD YACHT HOUSE PIER (R.BURE)",2000-06-27 10:30:00,"Nitrate-N","Nitrate as N","0117",NA,4.12,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",630900,316700
"8","http://environment.data.gov.uk/water-quality/data/measurement/AN-689856-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-MISCTL72","AN-MISCTL72","MISC.10KM SQ BRAINTREE..............TL72",2000-01-26 14:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.24,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",570000,220000
"9","http://environment.data.gov.uk/water-quality/data/measurement/AN-688400-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-MISCTL74","AN-MISCTL74","MISC.10KM SQ CLARE..................TL74",2000-01-28 16:05:00,"Nitrate-N","Nitrate as N","0117",NA,3.94,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",570000,240000
"10","http://environment.data.gov.uk/water-quality/data/measurement/AN-689603-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-01-18 10:44:00,"Nitrate-N","Nitrate as N","0117",NA,1.76,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"11","http://environment.data.gov.uk/water-quality/data/measurement/AN-692237-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-02-16 10:08:00,"Nitrate-N","Nitrate as N","0117",NA,1.89,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"12","http://environment.data.gov.uk/water-quality/data/measurement/AN-1027653-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-03-14 09:45:00,"Nitrate-N","Nitrate as N","0117",NA,1.22,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"13","http://environment.data.gov.uk/water-quality/data/measurement/AN-1026133-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-04-12 09:28:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"14","http://environment.data.gov.uk/water-quality/data/measurement/AN-1033116-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-05-09 09:40:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"15","http://environment.data.gov.uk/water-quality/data/measurement/AN-1134011-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-06-06 09:45:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"16","http://environment.data.gov.uk/water-quality/data/measurement/AN-1037386-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-THR030A","AN-THR030A","HICKLING BROAD (R.THURNE)",2000-07-04 11:45:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",641800,321800
"17","http://environment.data.gov.uk/water-quality/data/measurement/AN-691507-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-01-17 15:00:00,"Nitrate-N","Nitrate as N","0117",NA,1.12,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"18","http://environment.data.gov.uk/water-quality/data/measurement/AN-692363-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-02-15 09:10:00,"Nitrate-N","Nitrate as N","0117",NA,1.31,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"19","http://environment.data.gov.uk/water-quality/data/measurement/AN-1027784-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-03-13 13:45:00,"Nitrate-N","Nitrate as N","0117",NA,1.31,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"20","http://environment.data.gov.uk/water-quality/data/measurement/AN-1028337-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-04-11 12:52:00,"Nitrate-N","Nitrate as N","0117",NA,0.808,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"21","http://environment.data.gov.uk/water-quality/data/measurement/AN-1034155-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-05-08 13:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.235,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"22","http://environment.data.gov.uk/water-quality/data/measurement/AN-1033609-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-06-05 09:30:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"23","http://environment.data.gov.uk/water-quality/data/measurement/AN-1041211-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-UPT010","AN-UPT010","UPTON GREAT BROAD",2000-07-03 09:30:00,"Nitrate-N","Nitrate as N","0117","<",0.1,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",639000,313400
"24","http://environment.data.gov.uk/water-quality/data/measurement/MD-1494419-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-70263990","MD-70263990","RIVER SOW - COPMERE END LAKE O/L",2000-05-10 12:30:00,"Nitrate-N","Nitrate as N","0117",NA,3.31,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",380520,329520
"25","http://environment.data.gov.uk/water-quality/data/measurement/MD-1494966-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-70263990","MD-70263990","RIVER SOW - COPMERE END LAKE O/L",2000-05-25 08:50:00,"Nitrate-N","Nitrate as N","0117",NA,3.34,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",380520,329520
"26","http://environment.data.gov.uk/water-quality/data/measurement/MD-1496416-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-70263990","MD-70263990","RIVER SOW - COPMERE END LAKE O/L",2000-06-08 12:45:00,"Nitrate-N","Nitrate as N","0117",NA,2.77,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",380520,329520
"27","http://environment.data.gov.uk/water-quality/data/measurement/MD-1515261-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-70263990","MD-70263990","RIVER SOW - COPMERE END LAKE O/L",2000-10-24 09:30:00,"Nitrate-N","Nitrate as N","0117",NA,2.64,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",380520,329520
"28","http://environment.data.gov.uk/water-quality/data/measurement/MD-1518677-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-70263990","MD-70263990","RIVER SOW - COPMERE END LAKE O/L",2000-11-16 09:20:00,"Nitrate-N","Nitrate as N","0117",NA,3.87,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",380520,329520
"29","http://environment.data.gov.uk/water-quality/data/measurement/MD-1509406-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90009730","MD-90009730","FISHERIES UPPER SEVERN 09",2000-09-08 15:00:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"30","http://environment.data.gov.uk/water-quality/data/measurement/MD-1499578-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90010700","MD-90010700","POLCON 1-OFF, WATER: SEVERN 10",2000-06-26 12:00:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"31","http://environment.data.gov.uk/water-quality/data/measurement/MD-1045447-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90011800","MD-90011800","POLCON 1-OFF, WATER: TRENT 11",2000-04-18 14:30:00,"Nitrate-N","Nitrate as N","0117",NA,20.9,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"32","http://environment.data.gov.uk/water-quality/data/measurement/MD-1108712-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90011800","MD-90011800","POLCON 1-OFF, WATER: TRENT 11",2000-05-09 11:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.639,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"33","http://environment.data.gov.uk/water-quality/data/measurement/MD-1503145-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90050800","MD-90050800","POLCON 1-OFF, WATER: TRENT 50",2000-07-24 10:00:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"34","http://environment.data.gov.uk/water-quality/data/measurement/MD-1499789-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90064800","MD-90064800","POLCON 1-OFF, WATER: TRENT 64",2000-06-29 10:30:00,"Nitrate-N","Nitrate as N","0117",NA,12.4,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"35","http://environment.data.gov.uk/water-quality/data/measurement/MD-1499790-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90064800","MD-90064800","POLCON 1-OFF, WATER: TRENT 64",2000-06-29 10:40:00,"Nitrate-N","Nitrate as N","0117",NA,13.6,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"36","http://environment.data.gov.uk/water-quality/data/measurement/NW-1448519-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000024","NW-88000024","MISC RIVER SAMP (NOT CONT SW) IN DIST 1",2000-10-24 14:00:00,"Nitrate-N","Nitrate as N","0117",NA,7.54,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,4
"37","http://environment.data.gov.uk/water-quality/data/measurement/NW-1442865-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000032","NW-88000032","MISC LAKE SAMPLES IN DISTRICT 2",2000-08-31 11:40:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",500000,4
"38","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418409-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000033","NW-88000033","MISC POND SAMPLES IN DISTRICT 2",2000-03-21 13:30:00,"Nitrate-N","Nitrate as N","0117",NA,1.23,NA,"mg/l","POND / LAKE / RESERVOIR WATER",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",500000,4
