"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418497-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003131","NW-88003131","RIVER DOUGLAS AT MARTLAND BRIDGE",2000-03-20 10:55:00,"Nitrate-N","Nitrate as N","0117",NA,2.95,NA,"mg/l","PRECIPITATION",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",356047,406947
"2","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421852-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88003555","NW-88003555","ALUM BROOK AT SD638 283",2000-04-13 12:10:00,"Nitrate-N","Nitrate as N","0117",NA,4.29,NA,"mg/l","PRECIPITATION",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",363564,428425
"3","http://environment.data.gov.uk/water-quality/data/measurement/NW-1410240-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-01-05 14:10:00,"Nitrate-N","Nitrate as N","0117",NA,0.186,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"4","http://environment.data.gov.uk/water-quality/data/measurement/NW-1419418-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-01-19 09:37:00,"Nitrate-N","Nitrate as N","0117",NA,0.151,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"5","http://environment.data.gov.uk/water-quality/data/measurement/NW-1419419-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-02-02 09:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.228,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"6","http://environment.data.gov.uk/water-quality/data/measurement/NW-1419950-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-02-15 14:50:00,"Nitrate-N","Nitrate as N","0117",NA,0.283,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"7","http://environment.data.gov.uk/water-quality/data/measurement/NW-1419951-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-03-01 09:30:00,"Nitrate-N","Nitrate as N","0117",NA,0.12,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"8","http://environment.data.gov.uk/water-quality/data/measurement/NW-1420562-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-03-13 14:10:00,"Nitrate-N","Nitrate as N","0117",NA,0.298,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"9","http://environment.data.gov.uk/water-quality/data/measurement/NW-1423059-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-04-03 10:40:00,"Nitrate-N","Nitrate as N","0117",NA,1.59,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1424665-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-04-17 09:05:00,"Nitrate-N","Nitrate as N","0117",NA,0.384,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"11","http://environment.data.gov.uk/water-quality/data/measurement/NW-1424666-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-05-02 08:50:00,"Nitrate-N","Nitrate as N","0117",NA,0.426,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"12","http://environment.data.gov.uk/water-quality/data/measurement/NW-1428146-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-06-01 08:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.327,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"13","http://environment.data.gov.uk/water-quality/data/measurement/NW-1430016-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-06-13 14:50:00,"Nitrate-N","Nitrate as N","0117",NA,0.252,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
"14","http://environment.data.gov.uk/water-quality/data/measurement/NW-1435588-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88007350","NW-88007350","COAL BURN RAINWATER STATION",2000-07-04 09:35:00,"Nitrate-N","Nitrate as N","0117",NA,0.589,NA,"mg/l","PRECIPITATION",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",369360,577740
