"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/MD-1043296-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-09453550","MD-09453550","GRAN BROOK DS REME CAMP LONG MARSTON",2000-04-06 14:19:00,"Nitrate-N","Nitrate as N","0117",NA,9.14,NA,"mg/l","SURFACE DRAINAGE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",416240,247780
"2","http://environment.data.gov.uk/water-quality/data/measurement/MD-1043297-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-09454580","MD-09454580","GRAN BROOK US MICKLETON BROOK",2000-04-06 14:45:00,"Nitrate-N","Nitrate as N","0117",NA,8.12,NA,"mg/l","SURFACE DRAINAGE",FALSE,"ENVIRONMENTAL MONITORING (GQA & RE ONLY)",416700,245400
"3","http://environment.data.gov.uk/water-quality/data/measurement/MD-1519829-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-37646600","MD-37646600","SLAG BANK DYKE STORM SEWAGE",2000-11-28 15:00:00,"Nitrate-N","Nitrate as N","0117",NA,5.2,NA,"mg/l","SURFACE DRAINAGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",491900,412200
"4","http://environment.data.gov.uk/water-quality/data/measurement/MD-1031630-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90001700","MD-90001700","POLCON 1-OFF, WATER: SEVERN 01",2000-02-24 16:00:00,"Nitrate-N","Nitrate as N","0117",NA,3.15,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,2
"5","http://environment.data.gov.uk/water-quality/data/measurement/MD-1039467-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90020700","MD-90020700","POLCON AD-HOC WATER QUALITY: LS 20",2000-02-21 14:10:00,"Nitrate-N","Nitrate as N","0117",NA,2.39,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"6","http://environment.data.gov.uk/water-quality/data/measurement/MD-1039434-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90050800","MD-90050800","POLCON 1-OFF, WATER: TRENT 50",2000-02-18 10:30:00,"Nitrate-N","Nitrate as N","0117",NA,3.68,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"7","http://environment.data.gov.uk/water-quality/data/measurement/MD-1039435-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90050800","MD-90050800","POLCON 1-OFF, WATER: TRENT 50",2000-02-18 10:35:00,"Nitrate-N","Nitrate as N","0117",NA,2.3,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"8","http://environment.data.gov.uk/water-quality/data/measurement/MD-1033650-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90056800","MD-90056800","POLCON 1-OFF, WATER: TRENT 56",2000-03-06 12:15:00,"Nitrate-N","Nitrate as N","0117",NA,16.5,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"9","http://environment.data.gov.uk/water-quality/data/measurement/MD-1033654-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90057800","MD-90057800","POLCON 1-OFF, WATER: TRENT 57",2000-03-02 15:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.116,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,2
"10","http://environment.data.gov.uk/water-quality/data/measurement/MD-1045833-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800","MD-90083800","POLCON 1-OFF, WATER: TRENT 83",2000-03-10 10:05:00,"Nitrate-N","Nitrate as N","0117",NA,2.49,NA,"mg/l","SURFACE DRAINAGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
