,Date,Result
0,12072.0,12.8
1,12073.0,
2,12074.0,
3,12075.0,
4,12076.0,
5,12077.0,
6,12078.0,
7,12079.0,
8,12080.0,
9,12081.0,
10,12082.0,
11,12083.0,
12,12084.0,
13,12085.0,
14,12086.0,
15,12087.0,
16,12088.0,
17,12089.0,
18,12090.0,
19,12091.0,
20,12092.0,
21,12093.0,
22,12094.0,
23,12095.0,
24,12096.0,
25,12097.0,
26,12098.0,
27,12099.0,
28,12100.0,
29,12101.0,
30,12102.0,9.82
31,12103.0,
32,12104.0,
33,12105.0,
34,12106.0,
35,12107.0,
36,12108.0,
37,12109.0,
38,12110.0,
39,12111.0,
40,12112.0,
41,12113.0,
42,12114.0,
43,12115.0,
44,12116.0,
45,12117.0,
46,12118.0,
47,12119.0,
48,12120.0,
49,12121.0,
50,12122.0,
51,12123.0,
52,12124.0,
53,12125.0,
54,12126.0,
55,12127.0,
56,12128.0,5.94
57,12129.0,
58,12130.0,
59,12131.0,
60,12132.0,
61,12133.0,
62,12134.0,
63,12135.0,
64,12136.0,
65,12137.0,
66,12138.0,
67,12139.0,
68,12140.0,
69,12141.0,
70,12142.0,
71,12143.0,
72,12144.0,
73,12145.0,
74,12146.0,
75,12147.0,
76,12148.0,
77,12149.0,
78,12150.0,
79,12151.0,
80,12152.0,
81,12153.0,
82,12154.0,
83,12155.0,
84,12156.0,
85,12157.0,2.67
86,12158.0,
87,12159.0,
88,12160.0,
89,12161.0,
90,12162.0,
91,12163.0,
92,12164.0,
93,12165.0,
94,12166.0,
95,12167.0,
96,12168.0,
97,12169.0,
98,12170.0,
99,12171.0,
100,12172.0,
101,12173.0,
102,12174.0,
103,12175.0,
104,12176.0,
105,12177.0,
106,12178.0,
107,12179.0,
108,12180.0,
109,12181.0,
110,12182.0,
111,12183.0,
112,12184.0,
113,12185.0,
114,12186.0,
115,12187.0,
116,12188.0,
117,12189.0,
118,12190.0,
119,12191.0,
120,12192.0,
121,12193.0,2.17
122,12194.0,
123,12195.0,
124,12196.0,
125,12197.0,
126,12198.0,
127,12199.0,
128,12200.0,
129,12201.0,
130,12202.0,
131,12203.0,
132,12204.0,
133,12205.0,
134,12206.0,
135,12207.0,
136,12208.0,
137,12209.0,
138,12210.0,
139,12211.0,
140,12212.0,
141,12213.0,
142,12214.0,
143,12215.0,
144,12216.0,
145,12217.0,
146,12218.0,
147,12219.0,
148,12220.0,
149,12221.0,
150,12222.0,
151,12223.0,
152,12224.0,
153,12225.0,
154,12226.0,
155,12227.0,
156,12228.0,
157,12229.0,1.73
158,12230.0,
159,12231.0,
160,12232.0,
161,12233.0,
162,12234.0,
163,12235.0,
164,12236.0,
165,12237.0,
166,12238.0,
167,12239.0,
168,12240.0,
169,12241.0,
170,12242.0,
171,12243.0,1.85
172,12244.0,
173,12245.0,
174,12246.0,
175,12247.0,
176,12248.0,
177,12249.0,
178,12250.0,
179,12251.0,
180,12252.0,
181,12253.0,
182,12254.0,
183,12255.0,
184,12256.0,
185,12257.0,
186,12258.0,
187,12259.0,
188,12260.0,
189,12261.0,
190,12262.0,
191,12263.0,
192,12264.0,
193,12265.0,
194,12266.0,
195,12267.0,
196,12268.0,
197,12269.0,
198,12270.0,
199,12271.0,
200,12272.0,
201,12273.0,
202,12274.0,
203,12275.0,
204,12276.0,
205,12277.0,1.1
206,12278.0,
207,12279.0,
208,12280.0,
