,Crops,WQ
0,1526.78352,0.1
1,1526.78352,0.498
2,1526.78352,0.1
3,1526.78352,0.1
4,1526.78352,0.1
5,1526.78352,0.1
6,1526.78352,0.1
7,1604.5259800000001,7.07
8,1604.5259800000001,7.55
9,1604.5259800000001,8.61
10,1604.5259800000001,7.94
11,1604.5259800000001,7.49
12,1604.5259800000001,7.94
13,1604.5259800000001,7.97
14,1604.5259800000001,8.02
15,1604.5259800000001,8.46
16,1604.5259800000001,7.88
17,1604.5259800000001,7.81
18,1604.5259800000001,8.21
19,1604.5259800000001,8.15
20,1604.5259800000001,7.41
21,1604.5259800000001,7.51
22,1604.5259800000001,7.6
23,1604.5259800000001,7.91
24,702.26956,0.1
25,702.26956,0.498
26,702.26956,0.1
27,702.26956,0.1
28,702.26956,0.1
29,702.26956,0.1
30,702.26956,0.1
31,1316.3926099999999,0.493
32,1316.3926099999999,0.1
33,814.48559,0.988
34,814.48559,9.96
35,814.48559,6.17
36,718.36377,5.02
37,977.24314,10.8
38,977.24314,8.69
39,977.24314,3.51
40,977.24314,5.69
41,977.24314,1.58
42,977.24314,1.52
43,977.24314,4.54
44,977.24314,0.139
45,977.24314,1.26
46,977.24314,0.128
47,977.24314,10.8
48,885.3914800000001,1.56
49,885.3914800000001,0.115
50,1257.39284,2.91
51,1257.39284,10.9
52,885.3914800000001,10.4
53,885.3914800000001,10.1
54,885.3914800000001,11.8
55,885.3914800000001,9.2
56,885.3914800000001,11.3
57,977.24314,11.0
58,977.24314,10.7
59,977.24314,9.7
60,977.24314,11.1
61,977.24314,10.7
62,977.24314,10.3
63,977.24314,11.9
64,977.24314,10.6
65,977.24314,0.142
66,977.24314,11.4
67,1302.46696,10.5
68,1302.46696,11.7
69,893.23945,9.73
70,1094.83908,9.93
71,1257.63787,3.69
72,1138.4651800000001,3.02
73,31.51571,0.957
74,31.51571,0.196
75,31.51571,0.187
76,31.51571,0.183
77,31.51571,0.16
78,31.51571,0.195
79,31.51571,0.18600000000000005
80,31.51571,3.01
81,31.51571,0.191
82,31.51571,0.195
83,1088.7586,0.195
84,1088.7586,0.195
85,7.8084,1.74
86,7.8084,1.91
