"","sample.sampleDateTime","result"
"1",12072,12.8
"2",12102,9.82
"3",12128,5.94
"4",12157,2.67
"5",12193,2.17
"6",12229,1.73
"7",12243,1.85
"8",12277,1.1
"9",12310,1.55
"10",12346,3.48
"11",12401,40.4
"12",12424,30.6
"13",12452,27.1
"14",12480,18
"15",12499,15.6
"16",12535,7.58
"17",12555,7.77
"18",12583,2.67
"19",12646,3.6
"20",12656,9.75
"21",12712,19.6
"22",12732,5.96
"23",12747,9.97
"24",12765,7.2
"25",12816,11.3
"26",12835,12.4
"27",12863,6.96
"28",12894,6
"29",12923,1.94
"30",12962,1.78
"31",12990,2.42
"32",13038,7.55
"33",13055,2.75
"34",13095,8.56
"35",13110,3.7
"36",13131,4.76
"37",13165,9.08
"38",13195,14.3
"39",13224,8.81
"40",13258,1.58
"41",13284,5.16
"42",13326,1.75
"43",13347,0.629
"44",13382,12.1
"45",13410,1.71
"46",13439,3.98
"47",13460,4.83
"48",13497,13.5
"49",13523,12.5
"50",13528,10.7
"51",13537,10.1
"52",13538,9.83
"53",13545,7.56
"54",13551,7.06
"55",13559,8.61
"56",13566,7.84
"57",13566,7.72
"58",13572,7.12
"59",13578,5.88
"60",13586,6.81
"61",13593,6.86
"62",13599,5.08
"63",13600,4.51
"64",13607,3.68
"65",13614,2.61
"66",13621,1.78
"67",13628,1.49
"68",13630,1.4
"69",13635,1.44
"70",13642,1.77
"71",13649,16.5
"72",13655,7.3
"73",13663,15.9
"74",13670,4.52
"75",13670,4.61
"76",13677,2.75
"77",13685,4.78
"78",13691,5.92
"79",13706,3.11
"80",13713,2.29
"81",13718,2.62
"82",13728,2.29
"83",13733,2.1
"84",13740,2.17
"85",13740,2.15
"86",13747,7.18
"87",13754,3.74
"88",13760,2.85
"89",13760,2.9
"90",13767,2.58
"91",13769,2.54
"92",13775,2.72
"93",13784,6.44
"94",13789,6.12
"95",13789,5.97
"96",13796,23.3
"97",13801,5.75
"98",13805,12.7
"99",13809,6.64
"100",13817,4.17
"101",13824,2.83
"102",13833,3.96
"103",13833,3.92
"104",13838,20.7
"105",13845,7.27
"106",13851,10.2
"107",13851,10.1
"108",13858,14.1
"109",13864,8.11
"110",13903,9.16
"111",13916,7.55
"112",13964,6.76
"113",13986,4.17
"114",14014,2.13
"115",14053,3.02
"116",14083,2.57
"117",14095,2.54
"118",14104,6.06
"119",14111,2.95
"120",14117,3.15
"121",14125,2.74
"122",14125,2.78
"123",14133,5.4
"124",14138,5.15
"125",14147,3.08
"126",14147,3.02
"127",14152,3.79
"128",14159,11.6
"129",14167,4.05
"130",14167,4.01
"131",14175,3.41
"132",14181,6.09
"133",14187,11.9
"134",14187,11.5
"135",14196,9.45
"136",14202,5.7
"137",14208,10.2
"138",14208,10.4
"139",14216,10.1
"140",14223,8.66
"141",14251,4.94
"142",14259,6.69
"143",14259,6.75
"144",14265,8.16
"145",14272,8.36
"146",14279,8.45
"147",14280,8.31
"148",14286,6.79
"149",14295,6.51
"150",14299,5.97
"151",14306,5.24
"152",14313,6.06
"153",14320,5.13
"154",14328,6.43
"155",14335,4.62
"156",14341,3.64
"157",14349,2.32
"158",14351,2.31
"159",14355,2.14
"160",14355,2.12
"161",14356,2.02
"162",14365,2.28
"163",14370,2.44
"164",14378,2.42
"165",14386,2.07
"166",14386,1.97
"167",14391,1.83
"168",14399,2.16
"169",14406,2.48
"170",14411,2.75
"171",14411,2.79
"172",14419,2.31
"173",14426,1.59
"174",14426,1.57
"175",14432,1.36
"176",14439,2.01
"177",14449,1.58
"178",14454,1.71
"179",14463,2.1
"180",14467,1.64
"181",14467,1.7
"182",14473,1.75
"183",14482,1.02
"184",14490,1.18
"185",14498,3.21
"186",14503,2.99
"187",14503,3.02
"188",14511,2.98
"189",14517,3.21
"190",14525,3.11
"191",14531,4.02
"192",14531,4.08
"193",14538,4.13
"194",14546,2.79
"195",14551,1.93
"196",14552,1.69
"197",14557,3.74
"198",14565,24.1
"199",14573,4.49
"200",14578,18.6
"201",14579,21.8
"202",14581,19.7
"203",14589,18.3
"204",14592,17.8
"205",14595,18.7
"206",14621,11.4
"207",14621,11.3
"208",14631,13.3
"209",14636,15.4
"210",14645,15.6
"211",14651,12.6
"212",14651,12.5
"213",14656,13
"214",14663,10.3
"215",14666,10.3
