,ID,E,N,ID_5kmsq,OID_,UNIQUE,A1,A2,A3,A2A3,A4,A10A11,A12,A19,A21,A22,A23,A24,A25,A27,A31,A32,A99G1,B5B14,B21,B99,C1,G1,G2,G5,K201,K202,K203,K204,K205,K206,K207,K208,K209,K210,K211,K299,M1M4M7,M1,M4,M7,M9,M13M14,M17,M98,L1TOL5,L9L14,L98,N98,P90,geometry
0,500131,87500,7500,50013187500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.352077147598139 49.8859481769574)
1,500132,92500,7500,50013292500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.28267254272897 49.8885373817449)
2,500261,87500,12500,50026187500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.356121648555834 49.93078789271393)
3,500262,92500,12500,50026292500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.286653033960608 49.93338118711554)
4,500277,167500,12500,500277167500.0,763,500277167500.0,2.04042,0.48581,13.67248,14.1583,0.0,2.43566,0.0008,0.37695,0.0024,0.0,1.67024,0.0,0.0,0.0,1.21333,2.71349,45.43077,0.0,0.00883,0.00883,0.00401,20.81917,72.93083,318.18,28.85687,19.42624,16.02946,18.5817,16.45885,15.53141,8.99093,10.53587,16.83053,25.46316,60.9393,237.64565,101.42736,90.14114,4.70915,6.57706,2.09074,4.23281,171.97077,279.72148,1.06781,20.00601,21.07383,23.59964,4.97716,POINT (-5.243511148962318 49.96729097961222)
5,500278,172500,12500,500278172500.0,764,500278172500.0,0.00275,0.0,42.47941,42.47941,1.83625,3.09285,0.0055,0.57874,0.00825,0.0,5.33531,0.0,0.0,0.0,1.22233,6.10516,103.8991,0.0,0.01101,0.01101,0.0,42.03497,180.23503,219.55,68.41617,46.0573,38.00393,44.05497,39.02195,36.82312,21.31642,24.97929,39.90317,60.37011,144.47977,563.42933,108.78701,96.68186,5.05086,7.0543,2.24244,4.53995,184.44912,300.01832,2.56028,47.96823,50.52853,56.58466,11.80025,POINT (-5.173901471111552 49.96921841493074)
6,500391,87500,17500,50039187500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.360176329862456 49.97562701833375)
7,500392,92500,17500,50039292500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-6.29064354577962 49.97822440988551)
8,500407,167500,17500,500407167500.0,765,500407167500.0,37.73131,8.98364,30.83251,39.81615,0.0,18.56345,0.01484,5.26244,0.04454,0.0,30.88592,0.0,0.0,0.0,22.43684,4.27859,318.27028,0.0,0.16333,0.16333,0.07424,159.23619,613.24381,463.31,237.77442,160.06811,132.07936,153.10922,135.61738,127.97554,74.08336,86.81336,138.67999,209.81104,502.12682,1958.14949,304.28207,270.42342,14.12746,19.73119,6.27222,12.69843,515.91231,839.16445,8.33472,156.15532,164.49009,184.20514,41.01074,POINT (-5.246535477649796 50.0121878170211)
9,500408,172500,17500,500408172500.0,766,500408172500.0,1.3419,2.70074,73.36473,76.06548,7.88313,9.6809,0.03477,5.61188,0.06407,0.0,26.29775,0.0,0.0,0.0,4.81639,3.83911,324.88657,0.0,1.34473,1.34473,0.58356,179.98717,812.10283,764.63,305.37182,205.57422,169.62848,196.63697,174.17233,164.35798,95.14468,111.49371,178.10562,269.45867,644.87754,2514.83602,432.54793,384.41663,20.0827,28.0486,8.91618,18.05128,733.38793,1192.90249,10.20977,191.28549,201.49534,225.64567,52.66977,POINT (-5.176861168496825 50.01411830206109)
10,500409,177500,17500,500409177500.0,767,500409177500.0,2.8291,6.99174,29.32544,36.31718,2.71693,25.22511,0.03738,11.01729,0.08724,0.0,16.31407,0.0,0.0,0.0,0.24926,2.57984,225.28532,0.0,3.45225,3.45225,1.54541,115.2121,355.6179,437.43,144.92457,97.56223,80.50296,93.32075,82.6594,78.00166,45.15414,52.91313,84.52607,127.88076,306.04854,1193.50084,223.63608,198.75122,10.38316,14.5017,4.60985,9.33288,379.17649,616.75487,5.31905,99.65516,104.97424,117.55599,24.99623,POINT (-5.107179388959458 50.01600700304483)
11,500410,182500,17500,500410182500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-5.03749030151 50.01785390932162)
12,500530,132500,22500,500530132500.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,POINT (-5.737517633096874 50.04237853527679)
13,500531,137500,22500,500531137500.0,768,500531137500.0,44.07083,6.81121,56.04419,62.85539,0.98273,138.92455,0.3671,5.69883,0.76584,0.0,37.98419,6.31017,0.0,0.31466,2.99142,8.02771,567.00689,0.30262,5.52783,5.83046,0.6755,247.9399,336.9801,140.51,157.75303,96.49755,94.47826,96.79489,69.73741,91.56167,39.83985,42.62554,90.80474,175.16432,322.84991,1278.11511,41.95171,37.97552,0.7639,3.21228,1.87189,7.24215,47.37762,98.44337,13.15758,91.35195,104.5094,233.11286,22.53051,POINT (-5.66783554907695 50.04460470657212)
14,500532,142500,22500,500532142500.0,769,500532142500.0,12.08081,20.24065,74.33936,94.58001,4.68926,34.73232,0.0,27.55272,0.02649,0.0,40.5078,0.15895,0.0,0.0,14.27973,3.73551,396.26514,1.48361,8.00089,9.48449,3.31162,161.03379,284.42621,148.05,128.98041,66.54743,129.35788,84.49528,52.62056,124.3259,28.95586,22.63634,105.79026,72.55416,442.07834,1258.36528,55.46457,47.54611,2.23421,5.68425,1.76391,7.92858,53.55812,118.71521,19.05623,136.01056,155.06681,88.76792,23.67818,POINT (-5.598144832375837 50.04678910924438)
15,500533,147500,22500,500533147500.0,770,500533147500.0,2.73656,0.13127,2.47064,2.60192,1.23869,5.26779,0.0,0.07741,0.00336,0.0,5.54044,0.02356,0.0,0.0,0.00336,0.8314,50.38642,0.0,0.0,0.0,0.0,18.32863,25.91137,6.52,12.80944,6.60903,12.84693,8.39149,5.22591,12.34719,2.8757,2.24808,10.50636,7.20558,43.90416,124.97212,4.74361,4.06639,0.19108,0.48614,0.15085,0.67809,4.58056,10.15313,2.08967,14.91466,17.00433,9.73412,2.35155,POINT (-5.528445645168292 50.0489317309754)
