"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044245-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA40","AN-HELPEA40","HELPSTON LFS B/H EA40",2000-07-17 12:15:00,"Nitrate-N","Nitrate as N","0117",NA,0.295,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512074,303291
"2","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044246-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA41","AN-HELPEA41","HELPSTON LFS B/H EA41",2000-07-17 13:15:00,"Nitrate-N","Nitrate as N","0117",NA,0.224,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512046,303298
"3","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044247-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA42","AN-HELPEA42","HELPSTON LFS B/H EA42",2000-07-17 13:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.223,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",511999,303310
"4","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044248-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA43","AN-HELPEA43","HELPSTON LFS B/H EA43",2000-07-17 13:55:00,"Nitrate-N","Nitrate as N","0117",NA,0.727,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",511956,303324
"5","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044249-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA44","AN-HELPEA44","HELPSTON LFS B/H EA44",2000-07-17 14:10:00,"Nitrate-N","Nitrate as N","0117",NA,0.224,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",511928,303381
"6","http://environment.data.gov.uk/water-quality/data/measurement/AN-1045032-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA45","AN-HELPEA45","HELPSTON LFS B/H EA45",2000-07-17 15:00:00,"Nitrate-N","Nitrate as N","0117",NA,0.67,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",511967,303364
"7","http://environment.data.gov.uk/water-quality/data/measurement/AN-1045305-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA46","AN-HELPEA46","HELPSTON LFS B/H EA46",2000-07-18 10:55:00,"Nitrate-N","Nitrate as N","0117",NA,0.557,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512012,303348
"8","http://environment.data.gov.uk/water-quality/data/measurement/AN-1045033-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA47","AN-HELPEA47","HELPSTON LFS B/H EA47",2000-07-18 11:40:00,"Nitrate-N","Nitrate as N","0117",NA,0.461,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512055,303331
"9","http://environment.data.gov.uk/water-quality/data/measurement/AN-1045034-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA48","AN-HELPEA48","HELPSTON LFS B/H EA48",2000-07-18 12:15:00,"Nitrate-N","Nitrate as N","0117",NA,0.325,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512082,303322
"10","http://environment.data.gov.uk/water-quality/data/measurement/AN-1044250-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/AN-HELPEA49","AN-HELPEA49","HELPSTON LFS B/H EA49",2000-07-18 12:50:00,"Nitrate-N","Nitrate as N","0117",NA,0.477,NA,"mg/l","GROUNDWATER - PURGED/PUMPED/REFILLED",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",512096,303359
