"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/MD-2284948-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800","MD-90083800","POLCON 1-OFF, WATER: TRENT 83",2000-12-01 14:55:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","ANY LEACHATE",TRUE,"COMPLIANCE FORMAL (PERMIT)",500000,2
"2","http://environment.data.gov.uk/water-quality/data/measurement/MD-2285581-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90083800","MD-90083800","POLCON 1-OFF, WATER: TRENT 83",2000-12-01 14:48:00,"Nitrate-N","Nitrate as N","0117","<",0.5,NA,"mg/l","ANY LEACHATE",TRUE,"COMPLIANCE FORMAL (PERMIT)",500000,2
"3","http://environment.data.gov.uk/water-quality/data/measurement/NW-1453547-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000037","NW-88000037","MISC TIP LEACHATES IN DISTRICT 2",2000-12-05 13:05:00,"Nitrate-N","Nitrate as N","0117",NA,4.49,NA,"mg/l","ANY LEACHATE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",320000,520000
"4","http://environment.data.gov.uk/water-quality/data/measurement/NW-1453548-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000037","NW-88000037","MISC TIP LEACHATES IN DISTRICT 2",2000-12-05 13:15:00,"Nitrate-N","Nitrate as N","0117",NA,0.98,NA,"mg/l","ANY LEACHATE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",320000,520000
"5","http://environment.data.gov.uk/water-quality/data/measurement/NW-1449401-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000045","NW-88000045","MISC RIVER SAMP (NOT CONT SW) IN DIST 3",2000-10-27 16:00:00,"Nitrate-N","Nitrate as N","0117",NA,4.01,NA,"mg/l","ANY LEACHATE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
"6","http://environment.data.gov.uk/water-quality/data/measurement/NW-1412477-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048","NW-88000048","MISC SURFACE WATER DISCH IN DISTRICT 3",2000-02-17 14:30:00,"Nitrate-N","Nitrate as N","0117",NA,5.56,NA,"mg/l","ANY LEACHATE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
"7","http://environment.data.gov.uk/water-quality/data/measurement/NW-1412696-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-02-18 11:00:00,"Nitrate-N","Nitrate as N","0117",NA,1.68,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"8","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418974-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-02-18 09:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.973,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"9","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418979-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-02-18 11:35:00,"Nitrate-N","Nitrate as N","0117",NA,1.51,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418980-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-02-18 11:55:00,"Nitrate-N","Nitrate as N","0117",NA,1.39,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"11","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418982-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-02-18 12:05:00,"Nitrate-N","Nitrate as N","0117",NA,1.88,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"12","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421936-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-04-13 15:20:00,"Nitrate-N","Nitrate as N","0117",NA,0.989,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"13","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421937-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-04-13 15:53:00,"Nitrate-N","Nitrate as N","0117",NA,0.992,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
"14","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421938-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000058","NW-88000058","MISC TIP LEACHATES IN DISTRICT 4",2000-04-13 16:05:00,"Nitrate-N","Nitrate as N","0117",NA,0.992,NA,"mg/l","ANY LEACHATE",FALSE,"PLANNED INVESTIGATION (LOCAL MONITORING)",370000,450000
