"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/SW-2522635-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-50570152","SW-50570152","WADDOCK CROSS WATERCRESS A1",2000-02-03 13:30:00,"Nitrate-N","Nitrate as N","0117",NA,5.57,NA,"mg/l","SEA WATER AT HIGH TIDE",TRUE,"COMPLIANCE AUDIT (PERMIT)",379530,90900
"2","http://environment.data.gov.uk/water-quality/data/measurement/SW-2979285-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-82615055","SW-82615055","NORTH CORNWALL OFF BOSSINEY",2009-01-07 13:59:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.126,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",206500,91500
"3","http://environment.data.gov.uk/water-quality/data/measurement/SW-3020180-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/SW-82615055","SW-82615055","NORTH CORNWALL OFF BOSSINEY",2009-12-15 16:41:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.114,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",206500,91500
"4","http://environment.data.gov.uk/water-quality/data/measurement/NE-1375154-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-06-22 13:49:00,"Nitrate Filt","Nitrate, Filtered as N","9853","<",0.096,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"5","http://environment.data.gov.uk/water-quality/data/measurement/NE-1377814-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-07-26 17:50:00,"Nitrate Filt","Nitrate, Filtered as N","9853","<",0.096,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"6","http://environment.data.gov.uk/water-quality/data/measurement/NE-1378625-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-08-11 18:59:00,"Nitrate Filt","Nitrate, Filtered as N","9853","<",0.096,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"7","http://environment.data.gov.uk/water-quality/data/measurement/NE-1382907-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-09-30 10:07:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.0953,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"8","http://environment.data.gov.uk/water-quality/data/measurement/NE-1383776-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-10-14 10:22:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.0923,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"9","http://environment.data.gov.uk/water-quality/data/measurement/NE-1388494-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-11-16 10:38:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.146,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
"10","http://environment.data.gov.uk/water-quality/data/measurement/NE-1389613-9853","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49105157","NE-49105157","KILNSEA - NORTH SEA - HIGH TIDE",2010-12-14 14:17:00,"Nitrate Filt","Nitrate, Filtered as N","9853",NA,0.216,NA,"mg/l","SEA WATER AT HIGH TIDE",FALSE,"ENVIRONMENTAL MONITORING STATUTORY (EU DIRECTIVES)",541800,415800
