"","@id","sample.samplingPoint","sample.samplingPoint.notation","sample.samplingPoint.label","sample.sampleDateTime","determinand.label","determinand.definition","determinand.notation","resultQualifier.notation","result","codedResultInterpretation.interpretation","determinand.unit.label","sample.sampledMaterialType.label","sample.isComplianceSample","sample.purpose.label","sample.samplingPoint.easting","sample.samplingPoint.northing"
"1","http://environment.data.gov.uk/water-quality/data/measurement/MD-1503055-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-37646600","MD-37646600","SLAG BANK DYKE STORM SEWAGE",2000-07-18 14:35:00,"Nitrate-N","Nitrate as N","0117",NA,6.25,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",491900,412200
"2","http://environment.data.gov.uk/water-quality/data/measurement/MD-1500290-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/MD-90012800","MD-90012800","POLCON 1-OFF, WATER: TRENT 12",2000-06-29 17:15:00,"Nitrate-N","Nitrate as N","0117",NA,1.18,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,2
"3","http://environment.data.gov.uk/water-quality/data/measurement/NE-1044852-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-05-24 13:20:00,"Nitrate-N","Nitrate as N","0117",NA,1.41,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"4","http://environment.data.gov.uk/water-quality/data/measurement/NE-1053428-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-07-19 11:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.385,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"5","http://environment.data.gov.uk/water-quality/data/measurement/NE-1054872-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-08-01 10:10:00,"Nitrate-N","Nitrate as N","0117",NA,2.44,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"6","http://environment.data.gov.uk/water-quality/data/measurement/NE-1059246-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-09-20 12:30:00,"Nitrate-N","Nitrate as N","0117",NA,10.6,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"7","http://environment.data.gov.uk/water-quality/data/measurement/NE-1060224-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-09-27 12:10:00,"Nitrate-N","Nitrate as N","0117",NA,5.48,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"8","http://environment.data.gov.uk/water-quality/data/measurement/NE-1064110-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NE-49400073","NE-49400073","BECKFIELD ROAD SW OUTFALL,COTTINGLEY",2000-10-24 12:10:00,"Nitrate-N","Nitrate as N","0117",NA,2.43,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",TRUE,"COMPLIANCE AUDIT (PERMIT)",411323,437503
"9","http://environment.data.gov.uk/water-quality/data/measurement/NW-1418393-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048","NW-88000048","MISC SURFACE WATER DISCH IN DISTRICT 3",2000-03-16 10:40:00,"Nitrate-N","Nitrate as N","0117",NA,0.155,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
"10","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421963-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048","NW-88000048","MISC SURFACE WATER DISCH IN DISTRICT 3",2000-04-13 10:15:00,"Nitrate-N","Nitrate as N","0117",NA,2.49,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
"11","http://environment.data.gov.uk/water-quality/data/measurement/NW-1421964-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000048","NW-88000048","MISC SURFACE WATER DISCH IN DISTRICT 3",2000-04-14 11:40:00,"Nitrate-N","Nitrate as N","0117",NA,0.208,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
"12","http://environment.data.gov.uk/water-quality/data/measurement/NW-1420004-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000073","NW-88000073","MISC RIVER SAMP (NOT CONT S/W) CHESHIRE",2000-03-28 10:45:00,"Nitrate-N","Nitrate as N","0117",NA,0.086,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING (POLLUTION INCIDENTS)",500000,4
"13","http://environment.data.gov.uk/water-quality/data/measurement/NW-1420794-0117","http://environment.data.gov.uk/water-quality/id/sampling-point/NW-88000073","NW-88000073","MISC RIVER SAMP (NOT CONT S/W) CHESHIRE",2000-03-30 15:20:00,"Nitrate-N","Nitrate as N","0117",NA,0.821,NA,"mg/l","STORM SEWER OVERFLOW DISCHARGE",FALSE,"UNPLANNED REACTIVE MONITORING FORMAL (POLLUTION INCIDENTS)",500000,4
